,ParticipantID,DoB_month,DoB_year,5yr_US,SexAssigned,Gender,American Indian or Alaskan Native,Asian,Black or African American,Hispanic or Latino,Native Hawaiian or other Pacific Islander,White,Occupation,zipBorn,zip10,zipNow,IncBracket_growingUp,familySize_growingUp,parentsMarital,parentsEdu,partEdu,partIncome,partMarital,partNumChildren,parentsMarital_other,parentsEdu_other,partEdu_other
1,11889643,10,27,Yes,Male,Male,0,0,0,0,0,1,community manager,32277,32277,32277,"$56,000-$78,000",3,Widowed,Bachelor's degree (4 years of college),Bachelor's degree (4 years of college),"$42,500-$80,000",Married,2,,,
2,11889644,11,42,Yes,Male,Male,0,0,0,0,0,1,merchandiser,78109,78109,78109,"More than $78,000",5,Divorced,Some college,Bachelor's degree (4 years of college),"$12,501-$22,499",Divorced,1,,,
3,11889645,3,28,Yes,Male,Male,0,0,0,0,0,1,Administrative Assistant,11421,11374,11374,"$45,500-$55,999",4,Never married,Bachelor's degree (4 years of college),Bachelor's degree (4 years of college),"$12,501-$22,499",Single,0,,,
4,11889646,7,41,Yes,Female,Female,0,0,0,0,0,1,manufacturing,66749,66749,67460,"Less than $25,000",5,Married,Some college,Some college,"$42,500-$80,000",Married,0,,,
6,11889649,3,44,Yes,Female,Female,0,0,0,0,0,1,Health and Medical Writer,16830,16830,33460,"Less than $25,000",5,__other,Highschool degree,Bachelor's degree (4 years of college),"$42,500-$80,000",Married,2,My dad died when I was 6; my mom eventually remarried and remains married to my stepdad,,
7,11889650,9,32,Yes,Female,Female,0,0,0,0,0,1,Sales Support Specialist,32931,32927,44092,"$56,000-$78,000",4,Married,Associate's degree (2 years of college),Master's degree,"More than $80,000",Married,0,,,
8,11889651,2,42,Yes,Male,Male,0,0,0,0,0,1,Product Manager,7661,7661,94541,"More than $78,000",5,Widowed,Master's degree,Bachelor's degree (4 years of college),"More than $80,000",Single,0,,,
9,11889652,2,35,Yes,Female,Female,0,0,0,0,0,1,Homemaker,47303,47303,49426,"$56,000-$78,000",7,Married,Bachelor's degree (4 years of college),Bachelor's degree (4 years of college),"More than $80,000",Married,3,,,
10,11889654,11,47,Yes,Male,Male,0,0,0,0,0,1,vp of engineering,74074,75002,75013,"$25,001-$40,499",8,Married,Bachelor's degree (4 years of college),Bachelor's degree (4 years of college),"More than $80,000",Married,3,,,
14,11889665,4,35,Yes,Male,Male,0,0,0,0,0,1,unemployed,40977,40977,40976,"Less than $25,000",5,Widowed,Highschool degree,Some college,"$12,501-$22,499",Single,0,,,
15,11889684,4,28,Yes,Female,Female,0,0,0,0,0,1,data analyst,96162,96162,96162,"$45,500-$55,999",5,Married,Some college,Bachelor's degree (4 years of college),"More than $80,000",Married,1,,,
16,11889688,5,23,Yes,Male,Male,0,0,0,0,0,1,Public relations Officer,10116,10116,30301,"$56,000-$78,000",5,Married,Bachelor's degree (4 years of college),Bachelor's degree (4 years of college),"$22,500-$42,999",Single,0,,,
17,11889718,3,32,Yes,Female,Female,0,0,0,0,0,1,Engineer,90060,90060,60602,"$45,500-$55,999",6,Married,Highschool degree,Highschool degree,"$12,501-$22,499",Married,0,,,
21,11890058,11,55,Yes,Female,Female,0,0,0,0,0,1,Paralegal,44130,44130,34655,"$25,001-$40,499",4,__other,Highschool degree,Highschool degree,"$22,500-$42,999",Divorced,0,passed away,,
22,11890059,1,30,Yes,Female,Female,0,0,0,0,0,1,customer service representative,60132,60132,30101,"$25,001-$40,499",3,Divorced and remarried (one),Highschool degree,Associate's degree (2 years of college),"More than $80,000",Married,1,,,
23,11890062,10,43,Yes,Male,Male,0,0,0,0,0,1,Teacher,28572,28572,28269,"$45,500-$55,999",4,__other,Some college,Bachelor's degree (4 years of college),"$42,500-$80,000",Married,1,They remained married until my mom died last year. ,,
24,11890063,3,40,Yes,Male,Male,0,0,0,0,0,1,unemployed,7960,7054,7005,"Less than $25,000",7,Never married,Highschool degree,Highschool degree,"$12,501-$22,499",Single,0,,,
25,11890064,0,31,Yes,Male,Male,0,0,0,0,0,1,Grill cook,37129,37129,37129,"$25,001-$40,499",7,Married,Highschool degree,Some college,"$42,500-$80,000",Single,0,,,
26,11890065,1,43,Yes,Female,Female,0,0,0,0,0,1,business owner,70191,70191,70005,"$25,001-$40,499",3,Widowed,Highschool degree,Highschool degree,"$22,500-$42,999",Married,1,,,
27,11890068,0,51,Yes,Male,Male,0,0,0,0,0,1,operations,0,0,0,"Less than $25,000",10,__other,Highschool degree,Some college,"$42,500-$80,000",Married,2,Deceased,,
29,11890072,8,38,Yes,Female,Female,0,0,0,0,0,1,Retail Manager and Graduate Student,30342,30342,4103,Don't know,4,Divorced,Bachelor's degree (4 years of college),Master's degree,"$22,500-$42,999",Married,0,,,
31,11890074,2,33,Yes,Male,Male,0,0,0,0,0,1,cook,72143,88210,72143,"Less than $25,000",5,Divorced,Some college,Highschool degree,"Less than $12,500",Single,0,,,
32,11890075,9,47,Yes,Female,Female,0,0,0,0,0,1,Private Investigator,75238,75238,76513,"More than $78,000",4,Married,Master's degree,Master's degree,"$42,500-$80,000",Married,3,,,
33,11890077,9,35,Yes,Female,Female,0,0,0,0,0,1,self employed,46204,65265,65265,"Less than $25,000",2,Divorced,Some college,Highschool degree,"$22,500-$42,999",Single,0,,,
34,11890078,1,50,Yes,Male,Male,0,0,0,0,0,1,Managing Editor,92405,92405,46818,"More than $78,000",4,Married,Bachelor's degree (4 years of college),Bachelor's degree (4 years of college),"More than $80,000",Married,0,,,
35,11890079,0,30,Yes,Male,Male,0,0,0,0,0,1,Database Admin,55433,55433,55433,"$56,000-$78,000",5,Married,Associate's degree (2 years of college),Bachelor's degree (4 years of college),"$42,500-$80,000",Single,0,,,
37,11890082,10,28,Yes,Male,Male,0,0,0,0,0,1,Software Engineer,41011,41011,41011,"$25,001-$40,499",4,Married,Bachelor's degree (4 years of college),Master's degree,"$22,500-$42,999",Married,2,,,
39,11890084,7,27,Yes,Female,Female,0,0,0,0,0,1,Unemployed,85635,85616,85616,"$25,001-$40,499",3,Divorced,Some college,Some college,"Less than $12,500",Single,0,,,
41,11890086,6,70,Yes,Female,Female,0,0,0,0,0,1,retired nurse,47804,47874,47804,"$25,001-$40,499",3,Married,Highschool degree,Associate's degree (2 years of college),"$22,500-$42,999",Married,3,,,
42,11890088,4,25,Yes,Male,Male,0,0,0,0,0,1,Product designer,19801,19801,19801,"$56,000-$78,000",5,Married,Bachelor's degree (4 years of college),Bachelor's degree (4 years of college),"$42,500-$80,000",Single,0,,,
43,11890089,1,60,Yes,Female,Female,0,0,0,0,0,1,disabled,14620,33324,29707,Don't know,6,Married,Bachelor's degree (4 years of college),Bachelor's degree (4 years of college),"Less than $12,500",Married,-1,,,
45,11890091,11,43,Yes,Male,Male,0,0,0,0,0,1,Technical Support,49503,49329,48838,"$45,500-$55,999",7,Divorced,Associate's degree (2 years of college),Some college,"$42,500-$80,000",Married,2,,,
46,11890094,8,62,Yes,Female,Female,0,0,0,0,0,1,accountant,47201,47250,66224,"$45,500-$55,999",6,Married,Master's degree,Bachelor's degree (4 years of college),"More than $80,000",Divorced,3,,,
47,11890096,10,23,Yes,Female,Male,0,0,0,0,0,1,Student,80219,96819,48827,"$45,500-$55,999",4,Divorced,Bachelor's degree (4 years of college),Some college,"$22,500-$42,999",Single,0,,,
48,11890097,9,61,Yes,Male,Male,0,0,0,0,0,1,Analyst,29730,29730,29730,"More than $78,000",3,Married,Bachelor's degree (4 years of college),Bachelor's degree (4 years of college),"More than $80,000",Married,0,,,
49,11890099,7,32,Yes,Male,Male,0,0,0,0,0,1,software engineer,78702,78702,78702,"$25,001-$40,499",6,Married,Bachelor's degree (4 years of college),Bachelor's degree (4 years of college),"$22,500-$42,999",Married,2,,,
50,11890100,4,27,Yes,Female,Female,0,0,0,0,0,1,Software Developer,61751,61751,61751,"$56,000-$78,000",4,Never married,Master's degree,Master's degree,"$42,500-$80,000",Single,0,,,
51,11890101,11,34,Yes,Female,Female,0,0,0,0,0,1,Homemaker,62703,62703,64119,"More than $78,000",3,Married,Some college,Some college,"$22,500-$42,999",Divorced,4,,,
52,11890102,5,38,Yes,Male,Male,0,0,0,0,0,1,Driver,14026,14026,32218,"Less than $25,000",2,Never married,Some college,Highschool degree,"$12,501-$22,499",Married,4,,,
55,11890105,1,47,Yes,Female,Female,0,0,0,0,0,1,Speech/Language Pathologist,63116,63116,63129,Don't know,5,Married,Highschool degree,Master's degree,"More than $80,000",Married,2,,,
56,11890106,10,71,Yes,Female,Female,0,0,0,0,0,1,retired,60101,60101,60560,"$25,001-$40,499",3,__other,Associate's degree (2 years of college),Bachelor's degree (4 years of college),"$42,500-$80,000",Married,1,dead/married wjen they died,,
57,11890107,1,36,Yes,Female,Female,0,0,0,0,0,1,Software Developer,43739,43739,43739,"$45,500-$55,999",6,Married,Bachelor's degree (4 years of college),Bachelor's degree (4 years of college),"$42,500-$80,000",Married,2,,,
58,11890108,10,31,Yes,Male,Male,0,0,0,0,0,1,Disabled,29210,29526,29412,"Less than $25,000",4,Never married,Highschool degree,Highschool degree,"Less than $12,500",Single,0,,,
59,11890109,6,27,Yes,Female,Female,0,0,0,0,0,1,marketing,20036,20036,20036,"$45,500-$55,999",4,Married,Bachelor's degree (4 years of college),Bachelor's degree (4 years of college),"$42,500-$80,000",Married,1,,,
60,11890111,3,31,Yes,Male,Male,0,0,0,0,0,1,Copywriter,14539,14539,14435,"$56,000-$78,000",4,Married,Bachelor's degree (4 years of college),Bachelor's degree (4 years of college),"Less than $12,500",Single,0,,,
62,11890113,0,50,Yes,Male,Male,0,0,0,0,0,1,oil and gas,43204,43204,78550,"Less than $25,000",5,Married,Highschool degree,Bachelor's degree (4 years of college),"More than $80,000",Married,3,,,
63,11890114,10,22,Yes,Female,Female,0,0,0,0,0,1,Management,20008,20008,20008,"$45,500-$55,999",3,Married,Bachelor's degree (4 years of college),Bachelor's degree (4 years of college),"$42,500-$80,000",Married,1,,,
66,11890117,4,37,Yes,Female,Female,0,0,0,0,0,1,event coordinator,33606,33606,11206,"More than $78,000",4,Divorced,Bachelor's degree (4 years of college),Bachelor's degree (4 years of college),"More than $80,000",Single,0,,,
67,11890118,0,59,Yes,Male,Male,0,0,0,0,0,1,Heavy Equipment Operator ,15301,15324,15301,"$25,001-$40,499",4,Married,Highschool degree,Some college,"$22,500-$42,999",Divorced,1,,,
68,11890119,5,39,Yes,Male,Male,0,0,0,0,0,1,Information Technology,7014,7014,7014,"$25,001-$40,499",10,Divorced,Bachelor's degree (4 years of college),Bachelor's degree (4 years of college),"$42,500-$80,000",Married,2,,,
69,11890120,1,36,Yes,Male,Male,0,0,0,0,0,1,Animal Care,98101,48130,48130,"$56,000-$78,000",4,Married,Bachelor's degree (4 years of college),Some college,"$22,500-$42,999",Single,0,,,
70,11890121,11,41,Yes,Female,Female,0,0,0,0,0,1,Accounting Assistant,7440,7424,7009,"More than $78,000",4,Married,Highschool degree,Bachelor's degree (4 years of college),"$22,500-$42,999",Single,0,,,
71,11890122,1,39,Yes,Female,Female,0,0,0,0,0,1,disabled,76710,76712,76712,Don't know,3,Married,Associate's degree (2 years of college),Some college,"Less than $12,500",Divorced,2,,,
72,11890123,8,40,Yes,Female,Female,0,0,0,0,0,1,Sales,15906,15906,15317,"Less than $25,000",6,Divorced,Highschool degree,Associate's degree (2 years of college),"Less than $12,500",Married,0,,,
73,11890125,5,26,Yes,Male,Male,0,0,0,0,0,1,Software engineer,90014,90014,75247,"More than $78,000",6,Married,Bachelor's degree (4 years of college),Bachelor's degree (4 years of college),"$42,500-$80,000",Single,0,,,
74,11890126,8,41,Yes,Male,Male,0,0,0,0,0,1,Marketing,5310,53045,53066,Don't know,4,Married,Master's degree,Master's degree,"More than $80,000",Married,2,,,
75,11890127,8,43,Yes,Female,Female,0,0,0,0,0,1,homemaker ,2368,2368,2093,"More than $78,000",5,Married,Master's degree,Bachelor's degree (4 years of college),"More than $80,000",Married,3,,,
76,11890129,0,21,Yes,Female,Female,0,0,0,0,0,1,Technology,37354,37354,37354,"Less than $25,000",3,Divorced,Highschool degree,Highschool degree,"$22,500-$42,999",Single,0,,,
77,11890132,7,32,Yes,Female,Female,0,0,0,0,0,1,Customer Support Rep,80301,28635,28677,"$25,001-$40,499",2,Married,Some highschool,Associate's degree (2 years of college),"$12,501-$22,499",Married,0,,,
79,11890134,6,50,Yes,Male,Male,0,0,0,0,0,1,Disabled,50501,50501,39350,"$25,001-$40,499",4,__other,Highschool degree,Associate's degree (2 years of college),"$12,501-$22,499",Widowed,3,Both deceased,,
82,11890142,3,18,Yes,Male,Male,0,0,1,0,0,0,construction,30002,30002,30002,"More than $78,000",4,Never married,Bachelor's degree (4 years of college),Bachelor's degree (4 years of college),"More than $80,000",Single,0,,,
83,11890143,10,25,Yes,Male,Male,0,0,0,0,0,1,Information Technology,4734,4734,4734,"More than $78,000",4,Never married,Bachelor's degree (4 years of college),Bachelor's degree (4 years of college),"More than $80,000",Single,0,,,
84,11890144,3,39,Yes,Male,Male,0,0,0,0,0,1,Financial Analysis,67901,67901,74055,"$56,000-$78,000",4,Married,Bachelor's degree (4 years of college),Master's degree,"More than $80,000",Married,3,,,
85,11890146,4,55,Yes,Female,Female,0,0,0,0,0,1,First Grade Teacher,7451,7463,76901,"$45,500-$55,999",4,Divorced,Highschool degree,Bachelor's degree (4 years of college),"$42,500-$80,000",Married,1,,,
86,11890147,2,31,Yes,Male,Male,0,0,0,0,0,1,Account Manager,54914,54914,54113,"More than $78,000",4,Married,Bachelor's degree (4 years of college),Bachelor's degree (4 years of college),"$42,500-$80,000",Married,3,,,
87,11890148,8,44,Yes,Female,Female,0,0,0,0,0,1,Teacher,98584,98584,98584,"$45,500-$55,999",4,Married,Bachelor's degree (4 years of college),Bachelor's degree (4 years of college),"$42,500-$80,000",Married,2,,,
88,11890149,7,51,Yes,Male,Male,0,0,0,0,0,1,computer engineer,31015,31015,30040,"$56,000-$78,000",4,Married,Associate's degree (2 years of college),Bachelor's degree (4 years of college),"More than $80,000",Married,1,,,
89,11890150,3,29,Yes,Male,Male,0,0,0,0,0,1,Financial Planner,7840,7840,7042,"More than $78,000",4,Married,Bachelor's degree (4 years of college),Bachelor's degree (4 years of college),"More than $80,000",Married,1,,,
90,11890151,2,51,Yes,Female,Female,0,0,0,0,0,1,Food Service Worker,49331,49331,49331,"$45,500-$55,999",5,Divorced,Highschool degree,Some college,"$22,500-$42,999",Single,1,,,
91,11890154,9,47,Yes,Female,Female,0,0,0,0,0,1,Professor,44122,49068,48823,"More than $78,000",5,Married,Master's degree,Master's degree,"More than $80,000",Married,3,,,
92,11890155,4,49,Yes,Male,Male,0,0,0,0,0,1,IT specialist ,6830,6830,2645,"$56,000-$78,000",5,Never married,Highschool degree,Highschool degree,"$42,500-$80,000",Single,0,,,
93,11890156,9,39,Yes,Female,Female,0,0,0,0,0,1,Software Developer,74070,74070,74070,"$25,001-$40,499",3,Married,Some highschool,Bachelor's degree (4 years of college),"$22,500-$42,999",Married,2,,,
94,11890157,1,38,Yes,Female,Female,0,0,0,0,0,1,licensed practical nurse,1890,76542,78664,"More than $78,000",4,Married,Bachelor's degree (4 years of college),Associate's degree (2 years of college),"$42,500-$80,000",Married,0,,,
95,11890158,2,33,Yes,Female,Female,0,0,0,0,0,1,stay at home mom,35216,36330,35216,"More than $78,000",4,Married,Bachelor's degree (4 years of college),Master's degree,"More than $80,000",Married,2,,,
96,11890159,6,40,Yes,Female,Female,0,0,0,0,0,1,executive assistant,49201,49201,48910,Don't know,5,Divorced and remarried (one),Highschool degree,Some college,"$42,500-$80,000",Married,0,,,
97,11890160,4,35,Yes,Male,Male,0,0,0,0,0,1,Sales,14226,14226,14209,"$56,000-$78,000",4,Married,Bachelor's degree (4 years of college),Some college,"$42,500-$80,000",Married,0,,,
99,11890163,11,30,Yes,Male,Male,0,0,0,0,0,1,Teacher,41101,41101,42104,Don't know,2,Married,Bachelor's degree (4 years of college),Bachelor's degree (4 years of college),"$42,500-$80,000",Married,1,,,
100,11890166,6,57,Yes,Female,Female,0,0,0,0,0,1,homemaker,12308,12308,1247,"$25,001-$40,499",6,Married,Associate's degree (2 years of college),Master's degree,"Less than $12,500",Married,1,,,
101,11890167,3,55,Yes,Female,Female,0,0,0,0,0,1,self emplyed,60076,60076,89044,"$56,000-$78,000",4,Married,Bachelor's degree (4 years of college),Bachelor's degree (4 years of college),"$42,500-$80,000",Single,0,,,
102,11890168,4,65,Yes,Male,Male,0,0,0,0,0,1,retired mechanic,48201,48185,48186,"$45,500-$55,999",5,Widowed,Some highschool,Associate's degree (2 years of college),"$22,500-$42,999",Married,2,,,
104,11890171,9,45,Yes,Female,Female,0,0,0,0,0,1,administrative assistant,48381,48381,48381,"$45,500-$55,999",4,Divorced and remarried (one),Master's degree,Bachelor's degree (4 years of college),"More than $80,000",Married,5,,,
105,11890172,9,34,Yes,Female,Female,0,0,0,0,0,1,data qa,8020,8020,77459,"$45,500-$55,999",4,Never married,Associate's degree (2 years of college),Associate's degree (2 years of college),"$42,500-$80,000",Married,0,,,
106,11890173,3,47,Yes,Female,Female,0,0,0,0,0,1,Legal Assistant,97236,97218,97042,"$45,500-$55,999",4,Married,Highschool degree,Bachelor's degree (4 years of college),"$42,500-$80,000",Married,1,,,
107,11890174,10,31,Yes,Male,Male,0,0,0,0,0,1,Retail/Support Manager,62401,62443,62401,"$25,001-$40,499",4,Divorced,Highschool degree,Some college,"$22,500-$42,999",Single,1,,,
108,11890175,6,28,Yes,Female,Female,0,0,0,0,0,1,CPR Instructor,98006,98006,10033,"More than $78,000",4,__other,Master's degree,Bachelor's degree (4 years of college),"$22,500-$42,999",Single,0,Married but separated,,
109,11890177,7,55,Yes,Female,Female,0,0,0,0,0,1,self employed,46613,89119,72015,"$25,001-$40,499",2,Divorced,Highschool degree,Highschool degree,"$42,500-$80,000",Married,3,,,
111,11890180,2,73,Yes,Male,Male,0,0,0,0,0,1,drug and alcohol screener,75051,38111,38122,"Less than $25,000",5,Divorced,Highschool degree,Some college,"$42,500-$80,000",Divorced,2,,,
112,11890182,10,32,Yes,Male,Male,0,0,0,0,0,1,Researcher,43812,43812,43812,"Less than $25,000",5,Divorced,Some highschool,Associate's degree (2 years of college),"$12,501-$22,499",Single,0,,,
113,11890183,1,53,Yes,Female,Female,0,0,0,0,0,1,Artist,60047,60047,60659,"$56,000-$78,000",4,Divorced,Highschool degree,Bachelor's degree (4 years of college),"$12,501-$22,499",Divorced,0,,,
114,11890185,2,57,Yes,Male,Male,0,0,0,0,0,1,General Manager,19475,19475,19805,"More than $78,000",6,Married,Master's degree,Doctoral degree,"More than $80,000",Divorced,0,,,
115,11890189,6,66,Yes,Male,Male,0,0,0,0,0,1,Worker,60643,60643,86413,"$25,001-$40,499",10,__other,Highschool degree,Some college,"$22,500-$42,999",Divorced,3,deceased,,
117,11890191,9,59,Yes,Male,Male,0,0,0,0,0,1,it director,42431,46507,46535,"$25,001-$40,499",8,Married,Highschool degree,Highschool degree,"$42,500-$80,000",Married,3,,,
118,11890192,1,43,Yes,Male,Male,0,0,0,0,0,1,E sales Supervisor,44134,44134,92407,"$56,000-$78,000",3,Married,Bachelor's degree (4 years of college),Associate's degree (2 years of college),"$42,500-$80,000",Single,0,,,
119,11890193,9,23,Yes,Male,Male,0,0,0,0,0,1,Supervisor,65802,65725,65725,"Less than $25,000",4,Married,No highschool,Some college,"$12,501-$22,499",Single,0,,,
120,11890194,10,39,Yes,Female,Female,0,0,0,0,0,1,unemployed,44129,44056,75002,Don't know,4,Divorced and remarried (one),Associate's degree (2 years of college),Master's degree,"Less than $12,500",Married,0,,,
121,11890196,1,38,Yes,Male,Male,0,0,0,0,0,1,Title Assistant,92626,92626,92284,"Less than $25,000",3,Divorced,Highschool degree,Some college,"$42,500-$80,000",Married,0,,,
122,11890197,6,52,Yes,Female,Female,0,0,0,0,0,1,Office assistant,90703,90703,90703,"$56,000-$78,000",4,__other,Bachelor's degree (4 years of college),Some college,"More than $80,000",Married,4,they have both passed away,,
123,11890198,5,25,Yes,Male,Male,0,0,0,0,0,1,Analyst,33132,33132,33132,"$45,500-$55,999",4,Married,Bachelor's degree (4 years of college),Bachelor's degree (4 years of college),"More than $80,000",Single,0,,,
124,11890200,2,59,Yes,Female,Female,0,0,0,0,0,1,sales,48009,48009,48076,"$25,001-$40,499",4,__other,Highschool degree,Bachelor's degree (4 years of college),"$42,500-$80,000",Married,1,Both deceased,,
125,11890201,6,25,Yes,Female,Female,0,0,0,0,0,1,Student,1020,29485,29209,"More than $78,000",5,Married,Bachelor's degree (4 years of college),Bachelor's degree (4 years of college),"$22,500-$42,999",Single,0,,,
127,11890204,3,54,Yes,Female,Female,0,0,0,0,0,1,Civil Servant,-1,94115,95819,"$56,000-$78,000",5,Married,Doctoral degree,Bachelor's degree (4 years of college),"More than $80,000",Married,0,,,
128,11890205,8,28,Yes,Female,Female,0,0,0,0,0,1,Pharmacist,53715,53901,53901,"More than $78,000",5,Married,Bachelor's degree (4 years of college),Doctoral degree,"More than $80,000",Single,0,,,
130,11890209,4,40,Yes,Male,Male,0,0,0,0,0,1,mri technologist,94088,85234,85142,"More than $78,000",8,Married,Master's degree,Bachelor's degree (4 years of college),"More than $80,000",Married,3,,,
131,11890210,10,33,Yes,Female,Female,0,0,0,0,0,1,Computer Technician,78745,78745,73632,"$45,500-$55,999",3,__other,Doctoral degree,Bachelor's degree (4 years of college),"$42,500-$80,000",Married,1,They are both deceased,,
132,11890211,11,34,Yes,Male,Male,0,0,0,0,0,1,Billing Analyst,47714,47714,47630,"$45,500-$55,999",4,Married,Bachelor's degree (4 years of college),Bachelor's degree (4 years of college),"$42,500-$80,000",Single,3,,,
133,11890214,0,24,Yes,Male,Male,0,0,0,0,0,1,New York,10001,10001,10001,"$56,000-$78,000",5,Married,Bachelor's degree (4 years of college),Bachelor's degree (4 years of college),"$42,500-$80,000",Single,0,,,
134,11890215,8,41,Yes,Female,Female,0,0,0,0,0,1,medical receptionist,67217,67217,67226,"$45,500-$55,999",3,Divorced and remarried (one),Some college,Bachelor's degree (4 years of college),"$42,500-$80,000",Single,0,,,
135,11890216,2,50,Yes,Female,Female,0,0,0,0,0,1,case manager,62864,62864,62220,"More than $78,000",4,Married,Bachelor's degree (4 years of college),Bachelor's degree (4 years of college),"More than $80,000",Married,2,,,
136,11890219,0,38,Yes,Female,Female,0,0,0,0,0,1,Administrator,36784,36784,36784,"$45,500-$55,999",4,Married,Highschool degree,Master's degree,"More than $80,000",Married,2,,,
137,11890220,1,47,Yes,Male,Male,0,0,0,0,0,1,Software Developer,46835,45241,45069,Don't know,4,Married,Doctoral degree,Bachelor's degree (4 years of college),"More than $80,000",Married,3,,,
138,11890221,8,30,Yes,Male,Male,0,0,0,0,0,1,Unemployed,13324,13324,13324,"$56,000-$78,000",6,Never married,Some college,Highschool degree,"Less than $12,500",Single,0,,,
139,11890223,11,55,Yes,Male,Male,0,0,0,0,0,1,Data Analyst,3800,6812,29579,"$25,001-$40,499",4,Divorced and remarried (one),Highschool degree,Some college,"$22,500-$42,999",Married,2,,,
140,11890224,5,39,Yes,Female,Female,0,0,0,0,0,1,Director of training,33073,33073,33073,"More than $78,000",3,Married,Bachelor's degree (4 years of college),Bachelor's degree (4 years of college),"More than $80,000",Married,0,,,
141,11890226,0,54,Yes,Male,Male,0,0,0,0,0,1,Retired,95616,95616,95833,"$56,000-$78,000",7,Married,Bachelor's degree (4 years of college),Bachelor's degree (4 years of college),"More than $80,000",Married,0,,,
142,11890227,11,42,Yes,Male,Male,0,0,0,0,0,1,gig worker,42025,42025,42071,"Less than $25,000",10,Divorced and remarried (both),Bachelor's degree (4 years of college),Bachelor's degree (4 years of college),"$12,501-$22,499",Single,0,,,
143,11890228,4,41,Yes,Female,Female,0,0,0,0,0,1,nonprofit manager,17331,17350,15220,"$56,000-$78,000",4,Married,Bachelor's degree (4 years of college),Master's degree,"$42,500-$80,000",Divorced,0,,,
144,11890229,0,31,Yes,Male,Male,0,0,0,0,0,1,Software Developer,89014,89014,89014,"$25,001-$40,499",4,Married,Associate's degree (2 years of college),Bachelor's degree (4 years of college),"$22,500-$42,999",Married,2,,,
146,11890233,0,57,Yes,Male,Male,0,0,0,0,0,1,sales,77339,77339,77339,Don't know,5,Divorced,Associate's degree (2 years of college),Bachelor's degree (4 years of college),"$42,500-$80,000",Widowed,1,,,
147,11890237,9,28,Yes,Male,Male,0,0,0,0,0,1,Online Reseller,1854,1854,3857,"More than $78,000",6,Divorced,Highschool degree,Highschool degree,"$12,501-$22,499",Married,1,,,
149,11890240,2,45,Yes,Female,Female,0,0,0,0,0,1,homemaker,38652,38652,38652,"$56,000-$78,000",2,Divorced,Highschool degree,Associate's degree (2 years of college),"$42,500-$80,000",Married,2,,,
