ParticipantID,comf_community,comf_firefighter,comf_gun,comf_healthcare,comf_immigration,comf_media,comf_police,comf_religion,comf_science,comf_voting
11889642,5,5,3,4,2,4,5,3,5,4
11889643,7,7,7,7,7,7,7,7,7,7
11889644,4,7,3,5,5,3,2,1,6,7
11889645,6,5,1,6,1,7,2,7,3,7
11889646,6,6,7,2,1,6,5,7,2,4
11889648,7,7,7,7,7,7,7,7,7,7
11889649,7,7,1,7,6,2,1,1,7,7
11889650,5,7,7,7,7,7,5,3,7,7
11889651,5,5,5,5,5,3,5,3,5,6
11889652,7,7,5,7,6,5,6,5,5,7
11889654,6,7,6,6,6,5,7,6,7,6
11889655,6,6,6,6,6,6,6,6,6,6
11889657,4,7,5,7,6,5,1,3,7,6
11889662,4,7,4,7,7,7,7,7,7,7
11889665,7,7,5,7,7,7,6,6,7,7
11889684,6,7,3,7,5,2,6,5,6,6
11889688,7,7,7,7,7,7,7,7,7,7
11889718,5,7,2,7,7,7,7,5,6,7
11889747,6,7,7,7,6,6,6,6,7,7
11890055,7,7,7,7,7,3,7,7,7,7
11890057,5,6,1,2,6,1,4,5,5,1
11890058,5,5,3,6,6,3,5,5,6,5
11890059,7,7,2,3,1,1,3,1,6,6
11890062,7,7,4,7,6,1,2,1,7,7
11890063,4,4,4,5,4,5,4,6,7,6
11890064,2,7,5,7,5,6,3,3,7,7
11890065,7,7,6,7,6,2,6,6,7,7
11890068,7,7,7,7,7,7,5,7,7,7
11890070,1,4,1,6,1,1,1,1,5,5
11890072,5,6,3,5,4,3,5,5,7,4
11890073,5,7,6,5,5,5,6,5,6,6
11890074,7,7,5,6,5,2,6,3,6,6
11890075,5,7,5,5,5,3,5,3,6,4
11890077,5,5,6,7,7,6,4,6,7,7
11890078,3,6,5,3,2,2,4,3,4,3
11890079,7,7,7,7,7,7,7,7,7,7
11890081,7,7,7,7,7,7,7,7,7,7
11890082,7,5,5,6,5,6,6,6,5,5
11890083,3,6,1,6,1,1,5,1,5,6
11890084,4,5,5,5,5,5,5,5,5,4
11890085,7,7,7,7,7,7,7,7,7,7
11890086,7,7,7,7,7,7,7,7,7,7
11890088,6,6,3,7,4,6,5,7,5,6
11890089,7,6,6,7,6,7,6,6,6,6
11890090,6,6,5,6,5,4,6,6,6,6
11890091,7,7,7,7,7,7,7,7,7,7
11890094,7,7,7,7,7,6,7,7,7,7
11890096,7,7,7,7,7,7,7,7,7,7
11890097,7,7,7,7,7,7,7,7,7,7
11890099,5,7,2,7,3,2,5,7,7,7
11890100,7,6,7,6,7,4,7,6,7,7
11890101,3,7,6,3,1,6,3,5,6,3
11890102,1,1,1,7,1,1,1,7,7,7
11890103,6,7,7,6,7,5,6,6,6,7
11890104,7,7,6,7,2,6,7,7,7,7
11890105,2,6,3,7,5,2,5,5,7,6
11890106,5,7,4,7,6,7,7,6,7,7
11890107,6,5,4,6,5,6,5,4,5,6
11890108,3,6,3,7,5,6,2,2,7,3
11890109,5,5,3,5,5,5,5,6,5,5
11890111,2,7,5,5,5,2,4,2,7,5
11890112,6,5,5,5,4,5,5,6,3,5
11890113,7,7,1,3,7,1,4,1,7,7
11890114,6,7,5,7,5,6,7,7,6,7
11890115,7,7,3,7,1,1,7,7,7,2
11890116,4,5,5,5,5,5,5,5,5,5
11890117,7,6,6,7,5,7,2,3,7,7
11890118,6,7,3,5,3,2,3,3,6,6
11890119,6,6,1,5,3,6,6,6,5,5
11890120,3,5,2,6,4,2,2,3,6,5
11890121,5,7,2,3,1,3,2,6,7,5
11890122,4,5,4,3,2,3,5,3,7,3
11890123,5,7,1,5,1,1,5,1,2,1
11890125,6,5,4,6,2,2,3,4,5,5
11890126,3,5,3,5,5,1,3,4,5,4
11890127,7,7,5,7,7,7,7,5,7,7
11890129,7,7,7,7,7,7,7,7,7,7
11890132,5,7,2,7,4,2,3,1,6,5
11890133,7,7,7,5,1,7,7,6,5,4
11890134,1,7,2,3,2,2,2,2,7,6
11890139,5,5,5,3,3,3,6,3,5,5
11890141,5,5,5,5,5,5,5,5,5,5
11890142,5,7,3,7,5,7,5,6,7,7
11890143,6,5,2,4,5,3,6,5,6,6
11890144,6,7,2,5,5,5,5,7,5,5
11890146,6,6,6,6,6,6,6,6,6,6
11890147,7,7,5,7,3,7,7,6,5,6
11890148,5,7,2,6,5,6,7,6,7,7
11890149,6,6,5,6,6,2,6,6,6,7
11890150,7,7,2,6,2,2,3,6,6,7
11890151,7,7,7,7,7,7,7,7,7,7
11890154,6,6,6,6,6,6,6,6,6,6
11890155,5,6,5,5,2,6,6,6,5,5
11890156,5,5,3,6,5,3,6,3,5,4
11890157,6,6,6,6,6,6,5,6,6,6
11890158,6,5,3,5,3,5,3,5,3,6
11890159,6,7,1,4,5,1,1,1,7,6
11890160,4,6,3,5,2,4,3,2,6,6
11890161,5,6,5,6,5,6,5,5,6,6
11890163,7,6,2,5,6,2,2,2,7,7
11890166,2,7,5,5,5,2,3,2,6,6
11890167,7,7,1,5,5,4,7,1,5,5
11890168,6,7,7,6,7,7,7,6,5,7
11890169,7,7,7,7,7,7,7,7,7,7
11890171,5,7,3,5,7,1,5,1,7,6
11890172,7,7,3,5,3,2,2,5,7,7
11890173,5,7,7,6,6,6,5,7,7,6
11890174,4,6,5,6,3,6,6,5,7,6
11890175,7,7,7,7,7,7,7,7,7,7
11890177,3,6,4,1,1,6,5,4,2,5
11890179,1,6,1,6,1,1,1,1,1,1
11890180,3,7,1,7,6,1,3,5,7,7
11890182,7,7,3,7,3,3,7,7,7,7
11890183,5,7,1,7,3,1,1,2,7,7
11890185,7,7,7,7,7,7,7,7,7,7
11890189,7,7,7,7,7,7,7,7,7,7
11890190,5,7,5,7,2,1,3,1,6,2
11890191,5,6,5,5,5,5,5,4,5,5
11890192,5,7,3,7,5,1,5,2,7,7
11890193,6,7,5,5,5,6,4,2,6,5
11890194,7,7,3,7,2,7,7,3,7,7
11890196,4,7,7,5,3,4,7,7,5,2
11890197,6,7,6,3,4,7,7,7,5,5
11890198,6,5,5,6,5,2,5,5,6,5
11890200,7,7,5,7,6,3,7,5,7,7
11890201,4,7,3,7,3,3,5,3,7,5
11890203,6,5,5,5,6,5,5,5,5,6
11890204,6,6,3,6,3,3,6,6,6,6
11890205,6,5,6,7,5,7,3,5,5,7
11890208,5,4,2,7,7,5,3,6,7,7
11890209,7,7,7,7,7,6,7,7,7,6
11890210,7,7,7,7,7,7,7,7,7,7
11890211,3,7,3,7,6,3,2,6,7,6
11890214,2,7,3,7,3,6,7,7,7,6
11890215,7,7,7,7,7,7,7,7,7,7
11890216,7,7,2,6,5,5,6,6,7,5
11890219,6,5,4,5,5,5,5,5,6,5
11890220,5,6,4,6,5,4,5,3,6,6
11890221,1,7,1,5,4,1,7,3,7,7
11890223,5,7,7,7,7,7,7,7,7,7
11890224,6,7,5,5,6,4,7,7,7,4
11890226,7,7,7,7,7,7,7,7,7,7
11890227,5,7,3,7,5,2,2,3,7,6
11890228,7,6,3,4,5,1,2,2,6,5
11890229,3,3,3,5,3,5,5,5,6,5
11890232,3,7,7,7,7,5,7,3,7,7
11890233,4,7,7,7,7,7,7,4,6,7
11890237,7,7,7,7,7,7,7,7,7,7
11890239,5,7,4,7,3,7,7,7,7,4
11890240,7,7,7,7,7,7,7,7,7,7
11890242,5,6,5,5,2,6,6,3,6,5
11890243,4,7,7,7,7,7,7,7,7,7
11890244,6,6,7,6,6,6,7,7,7,7
11890245,7,7,7,7,7,7,7,7,7,7
11890248,7,7,3,6,2,1,5,1,5,1
11890249,7,7,7,7,6,4,7,5,7,7
11890251,5,7,1,2,6,1,1,1,7,3
11890253,7,7,7,7,6,7,7,7,7,7
11890254,6,6,1,6,6,2,5,6,6,4
11890255,6,7,5,7,3,2,7,5,6,5
11890256,4,6,2,3,2,2,6,1,7,6
11890257,4,4,3,3,4,5,4,5,2,4
11890259,7,7,7,7,7,7,7,7,7,7
11890260,6,6,1,1,3,5,5,1,1,2
11890261,6,6,7,5,6,5,6,5,6,6
11890262,4,6,5,5,5,3,3,2,6,6
11890265,6,6,3,6,6,6,6,6,6,7
11890269,6,5,2,6,3,6,6,6,5,6
11890271,7,7,7,6,5,4,6,2,5,2
11890272,3,7,1,7,7,7,7,2,7,7
11890273,7,7,6,7,5,2,7,7,7,7
11890274,7,7,7,7,7,7,7,7,7,7
11890275,5,5,5,3,3,5,3,6,6,5
11890276,5,5,2,5,1,2,3,3,6,5
11890277,7,7,3,6,3,3,6,2,6,6
11890279,5,5,1,5,2,1,3,2,7,3
11890282,3,7,5,7,6,6,6,3,7,7
11890284,5,7,3,7,5,1,7,1,7,7
11890285,7,7,7,7,7,7,7,7,7,7
11890286,6,7,6,6,2,2,6,2,6,6
11890287,7,7,7,7,7,7,7,7,7,7
11890289,5,5,1,7,3,5,5,6,7,6
11890292,6,7,4,4,4,1,1,1,6,1
11890295,5,7,1,3,5,3,5,1,7,3
11890298,3,4,4,4,3,4,4,3,4,6
11890299,5,5,4,3,5,1,2,6,5,3
11890300,5,5,4,5,4,4,5,5,4,4
11890302,6,6,7,6,6,2,5,5,6,6
11890303,7,7,1,7,6,1,1,6,7,7
11890306,7,7,7,7,7,7,7,7,7,7
11890308,7,7,1,7,1,7,1,1,7,1
11890310,6,7,1,7,5,7,7,5,6,7
11890311,7,7,7,6,7,7,7,6,6,7
11890312,6,6,7,7,3,6,7,7,7,6
11890313,5,7,3,6,5,6,5,3,4,5
11890314,7,7,6,7,7,7,7,7,7,7
11890319,5,6,3,6,5,3,2,1,7,5
11890320,6,7,4,6,5,5,4,6,6,5
11890323,6,7,2,6,5,6,3,6,6,5
11890324,5,6,6,5,6,6,5,5,5,6
11890327,5,7,2,6,5,3,7,5,3,2
11890328,6,5,6,6,7,6,6,6,5,5
11890329,5,7,5,7,5,3,7,6,7,7
11890330,5,5,1,6,5,2,1,1,6,3
11890331,3,7,3,7,3,3,3,2,7,6
11890334,6,6,7,7,5,7,5,5,7,7
11890337,5,6,3,7,5,7,5,7,6,6
11890339,6,6,3,6,5,6,5,6,5,5
11890342,6,7,5,6,7,5,5,6,7,7
11890346,6,6,7,6,7,5,7,6,7,7
11890351,5,6,5,5,5,3,4,2,5,6
11890354,5,6,4,6,4,5,5,3,5,5
11890357,3,5,4,7,5,4,6,5,6,5
11890358,5,6,6,6,6,6,7,7,6,6
11890361,6,6,5,7,5,5,6,7,7,6
11890363,6,7,2,7,5,6,5,5,6,6
11890365,5,5,4,5,4,4,5,6,5,5
11890366,7,7,1,7,7,7,1,7,7,7
11890367,6,5,6,4,3,5,7,5,7,5
11890368,6,6,5,6,6,6,6,6,6,6
11890369,5,6,6,5,6,6,6,6,7,6
11890371,2,2,2,2,2,2,1,0,2,2
11890374,5,7,3,7,5,7,6,7,5,7
11890376,6,6,2,6,5,6,6,7,3,6
11890378,3,6,2,7,6,7,6,6,7,7
11890379,7,7,1,7,5,1,7,1,7,1
11890380,7,7,7,7,7,7,7,7,7,7
11890382,5,6,7,6,6,6,6,7,6,6
11890385,4,7,5,2,3,3,4,4,3,3
11890389,6,6,4,7,4,5,6,7,7,6
11890390,5,5,5,5,5,5,5,5,5,5
11890391,7,7,5,7,6,5,7,6,6,6
11890393,5,7,5,7,5,2,1,1,7,7
11890394,5,6,1,3,3,1,1,5,6,7
11890395,7,7,3,3,4,2,3,7,7,7
11890396,5,6,2,6,3,6,6,6,6,6
11890398,7,7,4,6,3,1,4,7,4,6
11890400,7,6,7,7,6,7,6,7,7,7
11890402,4,4,3,7,5,3,3,5,6,6
11890406,3,5,5,6,2,1,6,3,7,2
11890407,5,6,1,5,5,6,6,7,3,6
11890409,7,7,3,7,2,3,7,7,7,3
11890413,4,4,4,5,4,4,4,5,5,4
11890415,7,7,7,7,7,7,7,7,7,7
11890416,7,7,7,7,7,7,7,7,7,7
11890417,5,6,6,6,6,6,6,6,6,6
11890418,7,7,7,7,7,7,7,7,7,7
11890422,3,6,1,7,3,2,6,6,7,6
11890423,5,7,4,7,6,7,7,7,6,6
11890427,7,7,6,7,7,4,6,3,7,7
11890428,3,7,7,7,7,7,7,7,7,7
11890430,5,3,3,5,6,5,5,5,3,5
11890432,7,7,7,7,7,7,7,7,7,7
11890433,7,7,7,7,7,7,7,7,7,7
11890437,6,5,3,7,3,5,6,5,6,6
11890440,7,6,6,6,6,6,6,6,6,6
11890453,6,4,6,6,5,4,2,6,5,6
11890454,6,7,6,1,2,4,7,2,6,5
11890457,3,6,6,2,5,4,5,2,4,5
11890460,7,7,7,7,7,7,7,7,7,7
11890468,7,7,4,6,6,6,7,7,6,6
11890470,5,5,3,3,4,6,3,2,5,6
11890472,7,7,7,7,7,7,7,7,7,7
11890473,4,7,2,1,5,4,6,2,6,3
11890475,5,6,1,3,6,3,2,2,6,5
11890477,7,7,2,6,5,3,7,5,6,7
11890478,7,7,5,5,4,1,6,1,7,7
11890481,8,8,8,8,8,8,8,7,8,8
11890482,7,7,7,7,7,7,7,7,7,7
11890484,4,7,6,6,3,3,3,6,7,6
11890490,4,6,1,6,4,2,1,1,6,2
11890492,6,5,4,6,5,6,6,6,5,6
11890493,6,6,6,6,6,6,6,6,6,6
11890495,6,6,6,6,5,6,6,5,5,6
11890496,7,7,4,4,4,4,7,7,7,4
11890497,2,7,5,7,4,4,5,6,7,5
11890499,7,7,7,7,6,7,7,7,7,7
11890500,5,7,3,5,5,1,2,5,6,1
11890501,5,7,3,6,3,3,3,2,7,6
11890502,6,7,4,7,4,7,5,7,7,7
11890510,7,7,7,7,7,7,7,7,7,7
11890511,2,6,4,5,3,3,5,3,5,5
11890515,6,5,5,5,5,5,5,5,5,5
11890518,6,6,5,6,5,6,6,6,5,6
11890519,5,3,3,3,5,5,5,5,5,5
11890520,5,5,3,6,4,2,3,7,7,6
11890522,7,7,7,7,7,7,7,5,7,7
11890523,3,6,3,5,3,6,5,6,3,5
11890524,2,7,3,2,7,1,2,1,7,1
11890529,6,7,3,7,5,7,6,7,6,7
11890536,7,7,1,7,7,1,1,4,7,4
11890539,5,6,5,6,7,6,6,3,6,7
11890540,1,7,1,7,1,1,7,1,7,7
11890541,6,7,1,5,1,1,1,2,6,5
11890545,7,7,7,7,7,7,7,7,7,7
11890548,5,7,5,7,2,6,7,7,2,7
